ID,Age_Bin,Years_Since_Last_Promotion_Bin,Monthly_Income_Bin,Training_Hours_Last_Year_Bin,Distance_From_Home_Bin,Years_at_Company_Bin,Years_in_Current_Role_Bin,Project_Count_Bin,Absenteeism_Bin,Average_Hours_Worked_Per_Week_Bin,Hourly_Rate_Bin,Work_Life_Balance_Bin,Relationship_with_Manager_Bin,Job_Involvement_Bin,Job_Satisfaction_Bin,Performance_Rating_Bin,Work_Environment_Satisfaction_Bin,Job_Level_Bin,Number_of_Companies_Worked_Bin,Gender_Bin,Job_Role_Manager_Bin,Job_Role_Assistant_Bin,Department_HR_Bin,Department_Marketing_Bin,Marital_Status_Married_Bin,Attrition
406,36-45,0,<=30k,60+,6-10km,6-10,0-1,5-6,11+,31-45,61-80,Excellent,Poor,Medium,Moderate,Good,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
407,46-60,3-5,<=30k,60+,20km+,11-20,10+,7+,6-10,31-45,81-100,Fair,Poor,Low,Moderate,Below Avg,Very High,Level 5,1-2,Male,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_Yes
408,46-60,3-5,<=30k,31-60,11-20km,20+,0-1,7+,11+,31-45,41-60,Good,Poor,Low,Moderate,Below Avg,High,Level 3,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
409,46-60,6-10,<=30k,11-30,20km+,20+,2-3,7+,11+,46-60,81-100,Excellent,Average,Medium,High,Good,Moderate,Level 1,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
410,46-60,1-2,<=30k,60+,20km+,20+,10+,5-6,6-10,31-45,41-60,Excellent,Poor,Medium,Low,Below Avg,Very High,Level 2,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_Yes
411,46-60,1-2,<=30k,31-60,20km+,11-20,7-10,3-4,11+,46-60,81-100,Poor,Average,Low,Very Low,Below Avg,High,Level 4,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Married,Attrition_Yes
412,36-45,3-5,<=30k,60+,11-20km,11-20,4-6,5-6,11+,31-45,41-60,Excellent,Average,Low,Moderate,Good,High,Level 1,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_Yes
413,26-35,1-2,<=30k,11-30,20km+,11-20,0-1,7+,6-10,46-60,41-60,Fair,Poor,High,Very High,Good,High,Level 1,3-5,Male,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_Yes
414,18-25,6-10,<=30k,31-60,20km+,6-10,7-10,<=2,0-2,46-60,<=40,Poor,Poor,Low,Low,Average,Very High,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
415,46-60,1-2,<=30k,0-10,6-10km,2-5,4-6,5-6,11+,46-60,<=40,Poor,Poor,High,Low,Below Avg,Low,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
416,46-60,6-10,<=30k,60+,20km+,6-10,7-10,7+,11+,31-45,61-80,Fair,Poor,Low,Moderate,Below Avg,Low,Level 2,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
417,46-60,6-10,<=30k,11-30,20km+,11-20,10+,7+,11+,46-60,41-60,Poor,Good,Medium,Very Low,Average,Moderate,Level 2,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
418,26-35,6-10,<=30k,60+,20km+,20+,7-10,3-4,11+,31-45,<=40,Fair,Average,Medium,Moderate,Average,High,Level 1,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
419,36-45,1-2,<=30k,60+,11-20km,20+,0-1,<=2,0-2,46-60,<=40,Fair,Poor,High,Very Low,Good,Very High,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
420,46-60,6-10,<=30k,0-10,20km+,20+,2-3,3-4,6-10,46-60,81-100,Fair,Average,High,Moderate,Average,Low,Level 1,3-5,Female,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
421,18-25,1-2,<=30k,31-60,20km+,11-20,10+,7+,6-10,31-45,81-100,Excellent,Average,Low,Moderate,Good,Very High,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
422,18-25,3-5,<=30k,31-60,0-5km,2-5,2-3,7+,6-10,46-60,41-60,Poor,Poor,Medium,Moderate,Average,High,Level 1,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
423,18-25,0,<=30k,31-60,6-10km,11-20,10+,7+,3-5,46-60,61-80,Good,Average,Low,High,Good,High,Level 5,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
424,26-35,6-10,<=30k,60+,11-20km,11-20,4-6,7+,3-5,31-45,61-80,Excellent,Poor,Low,Moderate,Good,Low,Level 2,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
425,36-45,3-5,<=30k,31-60,11-20km,11-20,4-6,7+,6-10,31-45,<=40,Good,Good,Low,Low,Good,Low,Level 1,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
426,26-35,1-2,<=30k,31-60,0-5km,0-1,4-6,7+,6-10,46-60,<=40,Poor,Poor,High,Very High,Good,High,Level 2,3-5,Male,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_Yes
427,18-25,3-5,<=30k,31-60,20km+,6-10,2-3,5-6,11+,46-60,61-80,Fair,Good,Low,Very High,Average,Moderate,Level 4,1-2,Male,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
428,46-60,3-5,<=30k,0-10,6-10km,6-10,7-10,7+,0-2,<=30,<=40,Good,Poor,Low,Moderate,Below Avg,Moderate,Level 5,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
429,46-60,3-5,<=30k,0-10,6-10km,20+,0-1,7+,11+,31-45,41-60,Excellent,Poor,Medium,High,Good,Moderate,Level 3,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
430,46-60,3-5,<=30k,11-30,11-20km,20+,7-10,7+,6-10,46-60,61-80,Fair,Good,Low,Moderate,Below Avg,Moderate,Level 4,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Married,Attrition_No
431,36-45,3-5,<=30k,60+,20km+,20+,4-6,7+,11+,46-60,41-60,Good,Average,Medium,Moderate,Below Avg,High,Level 5,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
432,36-45,6-10,<=30k,60+,11-20km,20+,7-10,5-6,6-10,31-45,81-100,Poor,Poor,Medium,Very Low,Below Avg,Very High,Level 4,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
433,26-35,6-10,<=30k,60+,20km+,2-5,7-10,3-4,0-2,46-60,81-100,Good,Poor,Low,Low,Below Avg,Low,Level 2,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
434,46-60,3-5,<=30k,11-30,0-5km,11-20,7-10,5-6,0-2,46-60,61-80,Excellent,Average,Low,Very Low,Below Avg,Very High,Level 5,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_Yes
435,46-60,6-10,<=30k,31-60,0-5km,2-5,2-3,5-6,3-5,46-60,41-60,Poor,Good,Low,Very High,Good,Low,Level 4,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
436,46-60,6-10,<=30k,0-10,0-5km,20+,7-10,3-4,11+,31-45,<=40,Fair,Poor,Medium,High,Below Avg,Low,Level 3,3-5,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
437,46-60,3-5,<=30k,60+,20km+,6-10,4-6,5-6,6-10,31-45,41-60,Excellent,Good,High,Very Low,Average,Very High,Level 5,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
438,26-35,6-10,<=30k,60+,20km+,11-20,2-3,5-6,3-5,46-60,<=40,Fair,Good,Low,Low,Average,High,Level 5,3-5,Female,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
439,18-25,6-10,<=30k,11-30,20km+,2-5,0-1,5-6,11+,46-60,81-100,Poor,Good,Medium,Low,Good,Moderate,Level 4,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
440,18-25,1-2,<=30k,11-30,20km+,20+,7-10,<=2,6-10,46-60,41-60,Good,Poor,Low,Low,Good,High,Level 1,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
441,46-60,6-10,<=30k,60+,6-10km,20+,2-3,<=2,0-2,46-60,<=40,Excellent,Good,Low,Very High,Average,Very High,Level 3,1-2,Male,Manager,Not Assistant,HR,Not Marketing,Married,Attrition_Yes
442,46-60,6-10,<=30k,60+,11-20km,6-10,0-1,5-6,11+,31-45,<=40,Fair,Good,Low,Very Low,Average,Moderate,Level 3,3-5,Female,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
443,26-35,6-10,<=30k,0-10,20km+,0-1,4-6,5-6,11+,31-45,81-100,Poor,Good,High,Low,Below Avg,Moderate,Level 4,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
444,46-60,1-2,<=30k,60+,20km+,20+,7-10,5-6,11+,46-60,61-80,Poor,Good,High,Very High,Good,Low,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
445,26-35,1-2,<=30k,11-30,20km+,2-5,10+,7+,0-2,46-60,41-60,Good,Poor,Medium,High,Below Avg,Very High,Level 2,3-5,Female,Not Manager,Assistant,Not HR,Marketing,Married,Attrition_No
446,26-35,6-10,<=30k,11-30,6-10km,11-20,10+,7+,0-2,46-60,61-80,Excellent,Poor,Low,Moderate,Good,Low,Level 1,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
447,46-60,6-10,<=30k,31-60,20km+,11-20,10+,<=2,0-2,46-60,61-80,Good,Poor,Low,High,Below Avg,Very High,Level 1,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_Yes
448,18-25,0,<=30k,0-10,11-20km,20+,7-10,7+,11+,46-60,<=40,Poor,Poor,Medium,Very Low,Average,Low,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
449,46-60,1-2,<=30k,60+,20km+,20+,4-6,<=2,0-2,46-60,<=40,Good,Poor,Low,High,Below Avg,Very High,Level 2,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
450,36-45,1-2,<=30k,11-30,20km+,11-20,10+,7+,0-2,31-45,41-60,Excellent,Average,Medium,Very High,Good,Very High,Level 3,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
451,36-45,3-5,<=30k,11-30,20km+,0-1,10+,7+,11+,46-60,41-60,Poor,Poor,Low,Very Low,Below Avg,Moderate,Level 2,3-5,Female,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
452,36-45,6-10,<=30k,0-10,20km+,11-20,2-3,5-6,0-2,46-60,61-80,Fair,Good,Medium,Low,Below Avg,High,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
453,26-35,1-2,<=30k,60+,0-5km,11-20,2-3,7+,6-10,46-60,<=40,Poor,Poor,Low,Very High,Average,Moderate,Level 2,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
454,46-60,6-10,<=30k,0-10,20km+,2-5,2-3,5-6,3-5,31-45,81-100,Good,Poor,Medium,Very Low,Good,Low,Level 5,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
455,36-45,1-2,<=30k,11-30,20km+,11-20,4-6,3-4,3-5,46-60,61-80,Good,Average,High,Very Low,Below Avg,Very High,Level 4,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
456,26-35,1-2,<=30k,31-60,11-20km,2-5,10+,<=2,6-10,31-45,81-100,Good,Average,Low,Very High,Below Avg,Very High,Level 5,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
457,36-45,6-10,<=30k,60+,20km+,11-20,10+,5-6,11+,31-45,41-60,Good,Poor,Medium,High,Below Avg,Low,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
458,46-60,1-2,<=30k,60+,20km+,2-5,4-6,<=2,11+,46-60,<=40,Poor,Average,Low,High,Good,Very High,Level 3,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_No
459,26-35,1-2,<=30k,0-10,20km+,11-20,10+,7+,3-5,46-60,61-80,Excellent,Poor,Medium,Low,Average,Moderate,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
460,18-25,3-5,<=30k,60+,20km+,6-10,10+,7+,11+,46-60,<=40,Poor,Poor,Medium,Very Low,Good,High,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
461,26-35,1-2,<=30k,60+,20km+,20+,7-10,<=2,11+,31-45,61-80,Excellent,Poor,High,High,Average,High,Level 4,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
462,46-60,1-2,<=30k,11-30,11-20km,20+,2-3,5-6,0-2,31-45,61-80,Poor,Average,High,Very Low,Below Avg,High,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
463,46-60,6-10,<=30k,11-30,20km+,11-20,4-6,3-4,11+,46-60,81-100,Poor,Poor,High,High,Below Avg,High,Level 1,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_No
464,36-45,0,<=30k,60+,20km+,2-5,4-6,5-6,11+,46-60,<=40,Excellent,Poor,Medium,Very High,Average,High,Level 5,1-2,Male,Not Manager,Assistant,Not HR,Marketing,Married,Attrition_No
465,36-45,6-10,<=30k,31-60,20km+,20+,0-1,3-4,3-5,31-45,<=40,Good,Poor,Low,Very High,Below Avg,Very High,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
466,46-60,1-2,<=30k,31-60,11-20km,6-10,0-1,5-6,11+,46-60,61-80,Excellent,Poor,High,High,Good,Moderate,Level 4,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
467,26-35,1-2,<=30k,60+,20km+,20+,10+,7+,11+,46-60,<=40,Excellent,Poor,Medium,Very High,Below Avg,Moderate,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
468,46-60,3-5,<=30k,60+,20km+,20+,10+,7+,3-5,31-45,41-60,Fair,Poor,Medium,Very Low,Below Avg,Very High,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_Yes
469,26-35,3-5,<=30k,60+,20km+,2-5,10+,7+,0-2,31-45,61-80,Fair,Poor,High,Very High,Good,Very High,Level 1,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
470,36-45,6-10,<=30k,31-60,0-5km,6-10,10+,<=2,11+,31-45,<=40,Good,Average,Low,Low,Below Avg,Low,Level 1,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
471,46-60,0,<=30k,31-60,20km+,0-1,10+,<=2,11+,31-45,61-80,Fair,Poor,Low,High,Good,Moderate,Level 1,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
472,46-60,3-5,<=30k,60+,6-10km,20+,7-10,7+,11+,46-60,<=40,Poor,Good,Medium,Low,Average,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
473,46-60,6-10,<=30k,31-60,20km+,11-20,2-3,3-4,6-10,<=30,<=40,Fair,Poor,Medium,Very High,Below Avg,Low,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_Yes
474,36-45,6-10,<=30k,60+,11-20km,20+,2-3,7+,6-10,31-45,81-100,Excellent,Poor,High,High,Below Avg,Low,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
475,46-60,1-2,<=30k,11-30,20km+,6-10,0-1,5-6,6-10,31-45,61-80,Poor,Good,Low,High,Below Avg,Moderate,Level 1,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
476,46-60,6-10,<=30k,31-60,20km+,6-10,7-10,7+,6-10,31-45,41-60,Excellent,Good,High,Very Low,Below Avg,Low,Level 4,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_Yes
477,36-45,6-10,<=30k,60+,20km+,20+,10+,7+,11+,46-60,81-100,Poor,Average,High,Very Low,Below Avg,Low,Level 3,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
478,36-45,6-10,<=30k,11-30,20km+,6-10,7-10,5-6,0-2,31-45,<=40,Excellent,Poor,Low,Very High,Good,Low,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
479,46-60,3-5,<=30k,0-10,20km+,11-20,0-1,<=2,11+,31-45,81-100,Poor,Poor,High,Very Low,Below Avg,Low,Level 2,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
480,46-60,6-10,<=30k,60+,6-10km,11-20,7-10,5-6,6-10,31-45,<=40,Good,Average,Low,Very Low,Average,Low,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
481,26-35,0,<=30k,31-60,6-10km,20+,10+,3-4,11+,46-60,81-100,Excellent,Poor,High,Low,Below Avg,High,Level 1,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
482,26-35,1-2,<=30k,60+,11-20km,6-10,0-1,7+,6-10,46-60,81-100,Excellent,Good,Low,Low,Average,Moderate,Level 1,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
483,36-45,0,<=30k,60+,11-20km,6-10,7-10,<=2,0-2,46-60,41-60,Poor,Poor,Low,Low,Good,Low,Level 1,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Married,Attrition_Yes
484,36-45,6-10,<=30k,60+,0-5km,20+,2-3,7+,0-2,31-45,81-100,Excellent,Poor,High,Very High,Good,Moderate,Level 3,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_Yes
485,46-60,0,<=30k,60+,11-20km,11-20,10+,<=2,3-5,31-45,81-100,Good,Average,Medium,High,Below Avg,High,Level 1,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
486,46-60,6-10,<=30k,60+,20km+,2-5,0-1,3-4,11+,31-45,41-60,Excellent,Poor,Low,Moderate,Below Avg,Low,Level 1,3-5,Female,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
487,36-45,6-10,<=30k,11-30,11-20km,11-20,10+,5-6,11+,31-45,<=40,Good,Poor,Low,Very High,Average,Low,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
488,36-45,3-5,<=30k,11-30,6-10km,20+,10+,5-6,3-5,46-60,61-80,Fair,Poor,Low,High,Below Avg,Very High,Level 1,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
489,36-45,0,<=30k,11-30,20km+,20+,10+,7+,0-2,31-45,41-60,Fair,Average,Low,Very Low,Good,High,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
490,36-45,3-5,<=30k,60+,11-20km,11-20,10+,3-4,6-10,31-45,<=40,Fair,Poor,Low,Very High,Average,Low,Level 5,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
491,26-35,1-2,<=30k,60+,20km+,20+,2-3,7+,11+,46-60,<=40,Good,Poor,Low,High,Good,Very High,Level 2,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
492,36-45,6-10,<=30k,11-30,11-20km,0-1,10+,7+,6-10,31-45,41-60,Good,Poor,Low,Very High,Good,Moderate,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
493,46-60,0,<=30k,60+,20km+,20+,10+,3-4,11+,31-45,<=40,Poor,Poor,Low,Very Low,Below Avg,Low,Level 2,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
494,26-35,6-10,<=30k,60+,20km+,20+,10+,5-6,11+,46-60,<=40,Excellent,Good,Low,Very Low,Below Avg,Very High,Level 2,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
495,36-45,3-5,<=30k,11-30,20km+,20+,2-3,3-4,0-2,31-45,41-60,Good,Poor,Low,Very High,Good,High,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
496,26-35,3-5,<=30k,60+,0-5km,11-20,10+,3-4,6-10,31-45,41-60,Poor,Good,Medium,Very High,Good,High,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
497,26-35,1-2,<=30k,0-10,11-20km,0-1,4-6,<=2,11+,46-60,<=40,Fair,Good,Medium,Moderate,Below Avg,Moderate,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
498,26-35,3-5,<=30k,11-30,0-5km,11-20,10+,<=2,6-10,46-60,41-60,Excellent,Average,Low,Low,Below Avg,Very High,Level 5,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
499,46-60,3-5,<=30k,31-60,20km+,6-10,7-10,5-6,11+,31-45,81-100,Good,Poor,High,High,Below Avg,High,Level 2,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
500,26-35,3-5,<=30k,60+,20km+,2-5,10+,7+,0-2,46-60,61-80,Poor,Good,High,Very Low,Below Avg,Moderate,Level 1,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_No
501,46-60,6-10,<=30k,31-60,6-10km,20+,2-3,7+,6-10,31-45,61-80,Poor,Average,Low,Very Low,Below Avg,Very High,Level 3,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
502,36-45,6-10,<=30k,11-30,6-10km,2-5,10+,3-4,6-10,31-45,<=40,Good,Good,Low,High,Below Avg,Very High,Level 1,1-2,Female,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
503,26-35,6-10,<=30k,0-10,11-20km,6-10,0-1,7+,11+,31-45,<=40,Fair,Average,High,Very High,Average,Very High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
504,18-25,1-2,<=30k,60+,20km+,20+,7-10,5-6,6-10,31-45,<=40,Poor,Poor,Low,Moderate,Below Avg,Low,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
505,46-60,1-2,<=30k,11-30,20km+,20+,2-3,3-4,6-10,31-45,41-60,Good,Average,Low,High,Below Avg,Very High,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
506,26-35,3-5,<=30k,11-30,20km+,20+,10+,3-4,11+,31-45,<=40,Good,Average,Low,Very High,Below Avg,High,Level 2,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
507,36-45,6-10,<=30k,60+,0-5km,11-20,4-6,3-4,11+,46-60,61-80,Poor,Good,Low,Very Low,Average,Very High,Level 4,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
508,36-45,0,<=30k,31-60,11-20km,20+,7-10,3-4,3-5,46-60,<=40,Excellent,Poor,Medium,Very High,Average,Low,Level 5,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
509,46-60,6-10,<=30k,11-30,20km+,6-10,10+,5-6,11+,46-60,81-100,Excellent,Poor,Medium,Low,Good,Moderate,Level 3,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
510,36-45,1-2,<=30k,60+,6-10km,20+,0-1,<=2,11+,31-45,81-100,Excellent,Poor,Medium,Moderate,Below Avg,Very High,Level 1,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
511,26-35,1-2,<=30k,31-60,20km+,11-20,4-6,7+,11+,31-45,81-100,Poor,Average,High,Low,Average,Low,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
512,46-60,6-10,<=30k,31-60,20km+,11-20,2-3,3-4,11+,46-60,<=40,Poor,Good,Low,Low,Below Avg,Very High,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
513,46-60,6-10,<=30k,60+,20km+,6-10,10+,5-6,6-10,31-45,61-80,Good,Poor,Low,Very High,Below Avg,Very High,Level 5,3-5,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
514,26-35,6-10,<=30k,31-60,20km+,2-5,10+,3-4,11+,31-45,61-80,Good,Average,Medium,Very High,Below Avg,Moderate,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
515,46-60,0,<=30k,0-10,20km+,2-5,7-10,5-6,3-5,46-60,81-100,Good,Average,Medium,High,Below Avg,Low,Level 1,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
516,18-25,1-2,<=30k,11-30,11-20km,6-10,2-3,3-4,11+,31-45,81-100,Fair,Good,High,Very Low,Average,High,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
517,46-60,6-10,<=30k,0-10,6-10km,6-10,4-6,<=2,11+,46-60,<=40,Fair,Poor,High,Moderate,Below Avg,Low,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
518,36-45,3-5,<=30k,11-30,11-20km,11-20,4-6,7+,11+,46-60,61-80,Excellent,Average,Low,Low,Below Avg,High,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
519,46-60,6-10,<=30k,60+,11-20km,11-20,7-10,<=2,11+,46-60,61-80,Good,Poor,Low,Very High,Below Avg,Very High,Level 1,3-5,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
520,26-35,6-10,<=30k,31-60,20km+,20+,7-10,5-6,3-5,46-60,<=40,Poor,Average,Low,Very Low,Below Avg,Low,Level 1,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
521,36-45,3-5,<=30k,60+,20km+,2-5,4-6,3-4,11+,<=30,81-100,Good,Good,Medium,High,Average,Very High,Level 5,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
522,26-35,6-10,<=30k,60+,11-20km,11-20,4-6,7+,0-2,46-60,<=40,Good,Good,Low,Very High,Average,Moderate,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
523,26-35,3-5,<=30k,31-60,20km+,20+,7-10,<=2,3-5,31-45,41-60,Excellent,Average,Medium,High,Good,Low,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
524,26-35,3-5,<=30k,11-30,11-20km,20+,10+,7+,11+,46-60,<=40,Fair,Poor,Medium,Very High,Average,Low,Level 1,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
